PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29628290","The Immune Landscape of Cancer","Thorsson V, Gibbs DL, Brown SD, Wolf D, Bortone DS, Ou Yang TH, Porta-Pardo E, Gao GF, Plaisier CL, Eddy JA, Ziv E, Culhane AC, Paull EO, Sivakumar IKA, Gentles AJ, Malhotra R, Farshidfar F, Colaprico A, Parker JS, Mose LE, Vo NS, Liu J, Liu Y, Rader J, Dhankani V, Reynolds SM, Bowlby R, Califano A, Cherniack AD, Anastassiou D, Bedognetti D, Mokrab Y, Newman AM, Rao A, Chen K, Krasnitz A, Hu H, Malta TM, Noushmehr H, Pedamallu CS, Bullman S, Ojesina AI, Lamb A, Zhou W, Shen H, Choueiri TK, Weinstein JN, Guinney J, Saltz J, Holt RA, Rabkin CS; Cancer Genome Atlas Research Network, Lazar AJ, Serody JS, Demicco EG, Disis ML, Vincent BG, Shmulevich I.","Immunity. 2018 Apr 17;48(4):812-830.e14. doi: 10.1016/j.immuni.2018.03.023. Epub 2018 Apr 5.","Thorsson V","Immunity","2018","2018/04/10","PMC5982584","NIHMS958212","10.1016/j.immuni.2018.03.023"
"34358469","A proteogenomic portrait of lung squamous cell carcinoma","Satpathy S, Krug K, Jean Beltran PM, Savage SR, Petralia F, Kumar-Sinha C, Dou Y, Reva B, Kane MH, Avanessian SC, Vasaikar SV, Krek A, Lei JT, Jaehnig EJ, Omelchenko T, Geffen Y, Bergstrom EJ, Stathias V, Christianson KE, Heiman DI, Cieslik MP, Cao S, Song X, Ji J, Liu W, Li K, Wen B, Li Y, Gümüş ZH, Selvan ME, Soundararajan R, Visal TH, Raso MG, Parra ER, Babur Ö, Vats P, Anand S, Schraink T, Cornwell M, Rodrigues FM, Zhu H, Mo CK, Zhang Y, da Veiga Leprevost F, Huang C, Chinnaiyan AM, Wyczalkowski MA, Omenn GS, Newton CJ, Schurer S, Ruggles KV, Fenyö D, Jewell SD, Thiagarajan M, Mesri M, Rodriguez H, Mani SA, Udeshi ND, Getz G, Suh J, Li QK, Hostetter G, Paik PK, Dhanasekaran SM, Govindan R, Ding L, Robles AI, Clauser KR, Nesvizhskii AI, Wang P, Carr SA, Zhang B, Mani DR, Gillette MA; Clinical Proteomic Tumor Analysis Consortium.","Cell. 2021 Aug 5;184(16):4348-4371.e40. doi: 10.1016/j.cell.2021.07.016.","Satpathy S","Cell","2021","2021/08/06","PMC8475722","NIHMS1730863","10.1016/j.cell.2021.07.016"
"33516373","Label-free metabolic clustering through unsupervised pixel classification of multiparametric fluorescent images","Bianchetti G, Ciccarone F, Ciriolo MR, De Spirito M, Pani G, Maulucci G.","Anal Chim Acta. 2021 Mar 1;1148:238173. doi: 10.1016/j.aca.2020.12.048. Epub 2020 Dec 31.","Bianchetti G","Anal Chim Acta","2021","2021/01/31","","","10.1016/j.aca.2020.12.048"
"31015295","In silico learning of tumor evolution through mutational time series","Auslander N, Wolf YI, Koonin EV.","Proc Natl Acad Sci U S A. 2019 May 7;116(19):9501-9510. doi: 10.1073/pnas.1901695116. Epub 2019 Apr 23.","Auslander N","Proc Natl Acad Sci U S A","2019","2019/04/25","PMC6510994","","10.1073/pnas.1901695116"
"34188042","Resolution of tissue signatures of therapy response in patients with recurrent GBM treated with neoadjuvant anti-PD1","Lu Y, Ng AHC, Chow FE, Everson RG, Helmink BA, Tetzlaff MT, Thakur R, Wargo JA, Cloughesy TF, Prins RM, Heath JR.","Nat Commun. 2021 Jun 29;12(1):4031. doi: 10.1038/s41467-021-24293-4.","Lu Y","Nat Commun","2021","2021/06/30","PMC8241935","","10.1038/s41467-021-24293-4"
"34534909","A diagnostic tree for differentiation of adult pilocytic astrocytomas from high-grade gliomas","Park YW, Kim D, Eom J, Ahn SS, Moon JH, Kim EH, Kang SG, Chang JH, Kim SH, Lee SK.","Eur J Radiol. 2021 Oct;143:109946. doi: 10.1016/j.ejrad.2021.109946. Epub 2021 Sep 8.","Park YW","Eur J Radiol","2021","2021/09/17","","","10.1016/j.ejrad.2021.109946"
"31780802","The landscape of tiered regulation of breast cancer cell metabolism","Katzir R, Polat IH, Harel M, Katz S, Foguet C, Selivanov VA, Sabatier P, Cascante M, Geiger T, Ruppin E.","Sci Rep. 2019 Nov 28;9(1):17760. doi: 10.1038/s41598-019-54221-y.","Katzir R","Sci Rep","2019","2019/11/30","PMC6882817","","10.1038/s41598-019-54221-y"
"31757877","Capturing Hyperprogressive Disease with Immune-Checkpoint Inhibitors Using RECIST 1.1 Criteria","Matos I, Martin-Liberal J, García-Ruiz A, Hierro C, Ochoa de Olza M, Viaplana C, Azaro A, Vieito M, Braña I, Mur G, Ros J, Mateos J, Villacampa G, Berché R, Oliveira M, Alsina M, Elez E, Oaknin A, Muñoz-Couselo E, Carles J, Felip E, Rodón J, Tabernero J, Dienstmann R, Perez-Lopez R, Garralda E.","Clin Cancer Res. 2020 Apr 15;26(8):1846-1855. doi: 10.1158/1078-0432.CCR-19-2226. Epub 2019 Nov 22.","Matos I","Clin Cancer Res","2020","2019/11/24","","","10.1158/1078-0432.CCR-19-2226"
"32780555","Deficiency of plasminogen activator inhibitor-2 results in accelerated tumor growth","Westrick RJ, Røjkjaer LP, Yang AY, Roh MH, Siebert AE, Ginsburg D.","J Thromb Haemost. 2020 Nov;18(11):2968-2975. doi: 10.1111/jth.15054. Epub 2020 Oct 1.","Westrick RJ","J Thromb Haemost","2020","2020/08/12","PMC7791406","NIHMS1655841","10.1111/jth.15054"
"26471190","Using Active Learning for Speeding up Calibration in Simulation Models","Cevik M, Ergun MA, Stout NK, Trentham-Dietz A, Craven M, Alagoz O.","Med Decis Making. 2016 Jul;36(5):581-93. doi: 10.1177/0272989X15611359. Epub 2015 Oct 15.","Cevik M","Med Decis Making","2016","2015/10/17","PMC4833719","NIHMS725372","10.1177/0272989X15611359"
"33081343","Developmental scRNAseq Trajectories in Gene- and Cell-State Space-The Flatworm Example","Schmidt M, Loeffler-Wirth H, Binder H.","Genes (Basel). 2020 Oct 16;11(10):1214. doi: 10.3390/genes11101214.","Schmidt M","Genes (Basel)","2020","2020/10/21","PMC7603055","","10.3390/genes11101214"
"35419511","Using Graph Representation Learning to Predict Salivary Cortisol Levels in Pancreatic Cancer Patients","Dong G, Boukhechba M, Shaffer KM, Ritterband LM, Gioeli DG, Reilley MJ, Le TM, Kunk PR, Bauer TW, Chow PI.","J Healthc Inform Res. 2021 Apr 21;5(4):401-419. doi: 10.1007/s41666-021-00098-4. eCollection 2021 Dec.","Dong G","J Healthc Inform Res","2021","2022/04/14","PMC8982720","","10.1007/s41666-021-00098-4"
"30412421","Glioma response assessment: Classic pitfalls, novel confounders, and emerging imaging tools","Johnson DR, Guerin JB, Ruff MW, Fang S, Hunt CH, Morris JM, Pearse Morris P, Kaufmann TJ.","Br J Radiol. 2019 Feb;92(1094):20180730. doi: 10.1259/bjr.20180730. Epub 2018 Nov 14.","Johnson DR","Br J Radiol","2019","2018/11/10","PMC6404837","","10.1259/bjr.20180730"
"34632675","Plasma biomarkers associated with adverse outcomes in patients with calcific aortic stenosis","Vidula MK, Orlenko A, Zhao L, Salvador L, Small AM, Horton E, Cohen JB, Adusumalli S, Denduluri S, Kobayashi T, Hyman M, Fiorilli P, Magro C, Singh B, Pourmussa B, Greczylo C, Basso M, Ebert C, Yarde M, Li Z, Cvijic ME, Wang Z, Walsh A, Maranville J, Kick E, Luettgen J, Adam L, Schafer P, Ramirez-Valle F, Seiffert D, Moore JH, Gordon D, Chirinos JA.","Eur J Heart Fail. 2021 Dec;23(12):2021-2032. doi: 10.1002/ejhf.2361. Epub 2021 Oct 21.","Vidula MK","Eur J Heart Fail","2021","2021/10/11","","","10.1002/ejhf.2361"
"31908025","KRCC1: A potential therapeutic target in ovarian cancer","Dwivedi SKD, Shameer K, Dey A, Mustafi SB, Xiong X, Bhattacharya U, Neizer-Ashun F, Rao G, Wang Y, Ivan C, Yang D, Dudley JT, Xu C, Wren JD, Mukherjee P, Bhattacharya R.","FASEB J. 2020 Feb;34(2):2287-2300. doi: 10.1096/fj.201902259R. Epub 2019 Dec 23.","Dwivedi SKD","FASEB J","2020","2020/01/08","PMC7018556","NIHMS1061541","10.1096/fj.201902259R"
"34367540","Gene Mutation Classification through Text Evidence Facilitating Cancer Tumour Detection","Gupta M, Wu H, Arora S, Gupta A, Chaudhary G, Hua Q.","J Healthc Eng. 2021 Jul 27;2021:8689873. doi: 10.1155/2021/8689873. eCollection 2021.","Gupta M","J Healthc Eng","2021","2021/08/09","PMC8337154","","10.1155/2021/8689873"
"33019302","Predicting the pathogenicity of protein coding mutations using Natural Language Processing","Rehmat N, Farooq H, Kumar S, Ul Hussain S, Naveed H.","Annu Int Conf IEEE Eng Med Biol Soc. 2020 Jul;2020:5842-5846. doi: 10.1109/EMBC44109.2020.9175781.","Rehmat N","Annu Int Conf IEEE Eng Med Biol Soc","2020","2020/10/06","","","10.1109/EMBC44109.2020.9175781"
"34690934","Machine-Learning Prediction of Postoperative Pituitary Hormonal Outcomes in Nonfunctioning Pituitary Adenomas: A Multicenter Study","Fang Y, Wang H, Feng M, Zhang W, Cao L, Ding C, Chen H, Wei L, Mu S, Pei Z, Li J, Zhang H, Wang R, Wang S.","Front Endocrinol (Lausanne). 2021 Oct 7;12:748725. doi: 10.3389/fendo.2021.748725. eCollection 2021.","Fang Y","Front Endocrinol (Lausanne)","2021","2021/10/25","PMC8529112","","10.3389/fendo.2021.748725"
"32723834","Inhibition of MAN2A1 Enhances the Immune Response to Anti-PD-L1 in Human Tumors","Shi S, Gu S, Han T, Zhang W, Huang L, Li Z, Pan D, Fu J, Ge J, Brown M, Zhang P, Jiang P, Wucherpfennig KW, Liu XS.","Clin Cancer Res. 2020 Nov 15;26(22):5990-6002. doi: 10.1158/1078-0432.CCR-20-0778. Epub 2020 Jul 28.","Shi S","Clin Cancer Res","2020","2020/07/30","PMC8500537","NIHMS1743963","10.1158/1078-0432.CCR-20-0778"
"31285340","Assessing micrometastases as a target for nanoparticles using 3D microscopy and machine learning","Kingston BR, Syed AM, Ngai J, Sindhwani S, Chan WCW.","Proc Natl Acad Sci U S A. 2019 Jul 23;116(30):14937-14946. doi: 10.1073/pnas.1907646116. Epub 2019 Jul 8.","Kingston BR","Proc Natl Acad Sci U S A","2019","2019/07/10","PMC6660785","","10.1073/pnas.1907646116"
"33059736","Clonal tracing reveals diverse patterns of response to immune checkpoint blockade","Gu SS, Wang X, Hu X, Jiang P, Li Z, Traugh N, Bu X, Tang Q, Wang C, Zeng Z, Fu J, Meyer C, Zhang Y, Cejas P, Lim K, Wang J, Zhang W, Tokheim C, Sahu AD, Xing X, Kroger B, Ouyang Z, Long H, Freeman GJ, Brown M, Liu XS.","Genome Biol. 2020 Oct 15;21(1):263. doi: 10.1186/s13059-020-02166-1.","Gu SS","Genome Biol","2020","2020/10/16","PMC7559192","","10.1186/s13059-020-02166-1"
"30031001","A two-phenotype model of immune evasion by cancer cells","Bayer P, Brown JS, Staňková K.","J Theor Biol. 2018 Oct 14;455:191-204. doi: 10.1016/j.jtbi.2018.07.014. Epub 2018 Jul 18.","Bayer P","J Theor Biol","2018","2018/07/22","","","10.1016/j.jtbi.2018.07.014"
"33261486","Self-generated persistent random forces drive phase separation in growing tumors","Sinha S, Thirumalai D.","J Chem Phys. 2020 Nov 28;153(20):201101. doi: 10.1063/5.0026590.","Sinha S","J Chem Phys","2020","2020/12/02","","","10.1063/5.0026590"
"28892582","Study on the tumor-induced angiogenesis using mathematical models","Suzuki T, Minerva D, Nishiyama K, Koshikawa N, Chaplain MAJ.","Cancer Sci. 2018 Jan;109(1):15-23. doi: 10.1111/cas.13395. Epub 2017 Dec 4.","Suzuki T","Cancer Sci","2018","2017/09/12","PMC5765301","","10.1111/cas.13395"
"33330634","Identifying Robust Microbiota Signatures and Interpretable Rules to Distinguish Cancer Subtypes","Chen L, Li Z, Zeng T, Zhang YH, Liu D, Li H, Huang T, Cai YD.","Front Mol Biosci. 2020 Nov 4;7:604794. doi: 10.3389/fmolb.2020.604794. eCollection 2020.","Chen L","Front Mol Biosci","2020","2020/12/17","PMC7672214","","10.3389/fmolb.2020.604794"
"32675198","Infiltrative tumour growth pattern correlates with poor outcome in oesophageal cancer","Anciaux M, Demetter P, De Wind R, Gomez Galdon M, Vande Velde S, Lens G, Craciun L, Deleruelle A, Larsimont D, Lenaerts T, Sclafani F, Deleporte A, Donckier V, Hendlisz A, Vandeputte C.","BMJ Open Gastroenterol. 2020 Jul;7(1):e000431. doi: 10.1136/bmjgast-2020-000431.","Anciaux M","BMJ Open Gastroenterol","2020","2020/07/18","PMC7368551","","10.1136/bmjgast-2020-000431"
"31568528","LOTUS: A single- and multitask machine learning algorithm for the prediction of cancer driver genes","Collier O, Stoven V, Vert JP.","PLoS Comput Biol. 2019 Sep 30;15(9):e1007381. doi: 10.1371/journal.pcbi.1007381. eCollection 2019 Sep.","Collier O","PLoS Comput Biol","2019","2019/10/01","PMC6786659","","10.1371/journal.pcbi.1007381"
"34135463","Application of machine learning to large in-vitro databases to identify cancer cell characteristics: telomerase reverse transcriptase (TERT) expression","Sherman J, Verstandig G, Brumer Y.","Oncogene. 2021 Aug;40(31):5038-5041. doi: 10.1038/s41388-021-01894-3. Epub 2021 Jun 16.","Sherman J","Oncogene","2021","2021/06/17","","","10.1038/s41388-021-01894-3"
"32803166","The Value of Patient and Tumor Factors in Predicting Preoperative Breast MRI Outcomes","Rahbar H, Hippe DS, Alaa A, Cheeney SH, van der Schaar M, Partridge SC, Lee CI.","Radiol Imaging Cancer. 2020 Jul 10;2(4):e190099. doi: 10.1148/rycan.2020190099.","Rahbar H","Radiol Imaging Cancer","2020","2020/08/18","PMC7398118","","10.1148/rycan.2020190099"
"34638954","Monocarboxylate Transporter-2 Expression Restricts Tumor Growth in a Murine Model of Lung Cancer: A Multi-Omic Analysis","Khalyfa A, Qiao Z, Raju M, Shyu CR, Coghill L, Ericsson A, Gozal D.","Int J Mol Sci. 2021 Sep 30;22(19):10616. doi: 10.3390/ijms221910616.","Khalyfa A","Int J Mol Sci","2021","2021/10/13","PMC8508890","","10.3390/ijms221910616"
"31150762","Glioma stages prediction based on machine learning algorithm combined with protein-protein interaction networks","Niu B, Liang C, Lu Y, Zhao M, Chen Q, Zhang Y, Zheng L, Chou KC.","Genomics. 2020 Jan;112(1):837-847. doi: 10.1016/j.ygeno.2019.05.024. Epub 2019 May 29.","Niu B","Genomics","2020","2019/06/01","","","10.1016/j.ygeno.2019.05.024"
"33919358","A Novel Deep Learning Method for Recognition and Classification of Brain Tumors from MRI Images","Masood M, Nazir T, Nawaz M, Mehmood A, Rashid J, Kwon HY, Mahmood T, Hussain A.","Diagnostics (Basel). 2021 Apr 21;11(5):744. doi: 10.3390/diagnostics11050744.","Masood M","Diagnostics (Basel)","2021","2021/04/30","PMC8143310","","10.3390/diagnostics11050744"
"33920322","Simultaneous Identification of EGFR,KRAS,ERBB2, and TP53 Mutations in Patients with Non-Small Cell Lung Cancer by Machine Learning-Derived Three-Dimensional Radiomics","Zhang T, Xu Z, Liu G, Jiang B, de Bock GH, Groen HJM, Vliegenthart R, Xie X.","Cancers (Basel). 2021 Apr 10;13(8):1814. doi: 10.3390/cancers13081814.","Zhang T","Cancers (Basel)","2021","2021/04/30","PMC8070114","","10.3390/cancers13081814"
"32020064","Lipidome-based rapid diagnosis with machine learning for detection of TGF-β signalling activated area in head and neck cancer","Ishii H, Saitoh M, Sakamoto K, Sakamoto K, Saigusa D, Kasai H, Ashizawa K, Miyazawa K, Takeda S, Masuyama K, Yoshimura K.","Br J Cancer. 2020 Mar;122(7):995-1004. doi: 10.1038/s41416-020-0732-y. Epub 2020 Feb 5.","Ishii H","Br J Cancer","2020","2020/02/06","PMC7109155","","10.1038/s41416-020-0732-y"
"35230690","Network Approaches for Precision Oncology","Pai S.","Adv Exp Med Biol. 2022;1361:199-213. doi: 10.1007/978-3-030-91836-1_11.","Pai S","Adv Exp Med Biol","2022","2022/03/01","","","10.1007/978-3-030-91836-1_11"
"34642183","Myeloid-Derived Suppressive Cell Expansion Promotes Melanoma Growth and Autoimmunity by Inhibiting CD40/IL27 Regulation in Macrophages","Valencia JC, Erwin-Cohen RA, Clavijo PE, Allen C, Sanford ME, Day CP, Hess MM, Johnson M, Yin J, Fenimore JM, Bettencourt IA, Tsuneyama K, Romero ME, Klarmann KD, Jiang P, Bae HR, McVicar DW, Merlino G, Edmondson EF, Anandasabapathy N, Young HA.","Cancer Res. 2021 Dec 1;81(23):5977-5990. doi: 10.1158/0008-5472.CAN-21-1148. Epub 2021 Oct 12.","Valencia JC","Cancer Res","2021","2021/10/13","PMC8639618","NIHMS1749395","10.1158/0008-5472.CAN-21-1148"
"32676319","Predicting EGFR mutation subtypes in lung adenocarcinoma using (18)F-FDG PET/CT radiomic features","Liu Q, Sun D, Li N, Kim J, Feng D, Huang G, Wang L, Song S.","Transl Lung Cancer Res. 2020 Jun;9(3):549-562. doi: 10.21037/tlcr.2020.04.17.","Liu Q","Transl Lung Cancer Res","2020","2020/07/18","PMC7354146","","10.21037/tlcr.2020.04.17"
"31296889","Integration of machine learning and mechanistic models accurately predicts variation in cell density of glioblastoma using multiparametric MRI","Gaw N, Hawkins-Daarud A, Hu LS, Yoon H, Wang L, Xu Y, Jackson PR, Singleton KW, Baxter LC, Eschbacher J, Gonzales A, Nespodzany A, Smith K, Nakaji P, Mitchell JR, Wu T, Swanson KR, Li J.","Sci Rep. 2019 Jul 11;9(1):10063. doi: 10.1038/s41598-019-46296-4.","Gaw N","Sci Rep","2019","2019/07/13","PMC6624304","","10.1038/s41598-019-46296-4"
"33955376","A Novel 5-Cytokine Panel Outperforms Conventional Predictive Markers of Persistent Organ Failure in Acute Pancreatitis","Langmead C, Lee PJ, Paragomi P, Greer P, Stello K, Hart PA, Whitcomb DC, Papachristou GI.","Clin Transl Gastroenterol. 2021 May 6;12(5):e00351. doi: 10.14309/ctg.0000000000000351.","Langmead C","Clin Transl Gastroenterol","2021","2021/05/06","PMC8104185","","10.14309/ctg.0000000000000351"
"30033447","A machine learning approach to radiogenomics of breast cancer: a study of 922 subjects and 529 DCE-MRI features","Saha A, Harowicz MR, Grimm LJ, Kim CE, Ghate SV, Walsh R, Mazurowski MA.","Br J Cancer. 2018 Aug;119(4):508-516. doi: 10.1038/s41416-018-0185-8. Epub 2018 Jul 23.","Saha A","Br J Cancer","2018","2018/07/24","PMC6134102","","10.1038/s41416-018-0185-8"
"33613456","Development and Validation of a Prediction Rule for Growth Hormone Deficiency Without Need for Pharmacological Stimulation Tests in Children With Risk Factors","Clément F, Grinspon RP, Yankelevich D, Martín Benítez S, De La Ossa Salgado MC, Ropelato MG, Ballerini MG, Keselman AC, Braslavsky D, Pennisi P, Bergadá I, Finkielstain GP, Rey RA.","Front Endocrinol (Lausanne). 2021 Feb 3;11:624684. doi: 10.3389/fendo.2020.624684. eCollection 2020.","Clément F","Front Endocrinol (Lausanne)","2021","2021/02/22","PMC7887303","","10.3389/fendo.2020.624684"
"31651589","Development and Internal Validation of Machine Learning Algorithms for Preoperative Survival Prediction of Extremity Metastatic Disease","Thio QCBS, Karhade AV, Bindels BJJ, Ogink PT, Bramer JAM, Ferrone ML, Calderón SL, Raskin KA, Schwab JH.","Clin Orthop Relat Res. 2020 Feb;478(2):322-333. doi: 10.1097/CORR.0000000000000997.","Thio QCBS","Clin Orthop Relat Res","2020","2019/10/26","PMC7438151","","10.1097/CORR.0000000000000997"
"33039428","The role of computational methods for automating and improving clinical target volume definition","Unkelbach J, Bortfeld T, Cardenas CE, Gregoire V, Hager W, Heijmen B, Jeraj R, Korreman SS, Ludwig R, Pouymayou B, Shusharina N, Söderberg J, Toma-Dasu I, Troost EGC, Vasquez Osorio E.","Radiother Oncol. 2020 Dec;153:15-25. doi: 10.1016/j.radonc.2020.10.002. Epub 2020 Oct 8.","Unkelbach J","Radiother Oncol","2020","2020/10/11","","","10.1016/j.radonc.2020.10.002"
"32885166","Predicting pediatric optic pathway glioma progression using advanced magnetic resonance image analysis and machine learning","Pisapia JM, Akbari H, Rozycki M, Thawani JP, Storm PB, Avery RA, Vossough A, Fisher MJ, Heuer GG, Davatzikos C.","Neurooncol Adv. 2020 Aug 1;2(1):vdaa090. doi: 10.1093/noajnl/vdaa090. eCollection 2020 Jan-Dec.","Pisapia JM","Neurooncol Adv","2020","2020/09/05","PMC7455885","","10.1093/noajnl/vdaa090"
"32185618","Next-Generation Radiogenomics Sequencing for Prediction of EGFR and KRAS Mutation Status in NSCLC Patients Using Multimodal Imaging and Machine Learning Algorithms","Shiri I, Maleki H, Hajianfar G, Abdollahi H, Ashrafinia S, Hatt M, Zaidi H, Oveisi M, Rahmim A.","Mol Imaging Biol. 2020 Aug;22(4):1132-1148. doi: 10.1007/s11307-020-01487-8.","Shiri I","Mol Imaging Biol","2020","2020/03/19","","","10.1007/s11307-020-01487-8"
"34234550","Value of Machine Learning with Multiphases CE-MRI Radiomics for Early Prediction of Pathological Complete Response to Neoadjuvant Therapy in HER2-Positive Invasive Breast Cancer","Li Q, Xiao Q, Li J, Wang Z, Wang H, Gu Y.","Cancer Manag Res. 2021 Jun 28;13:5053-5062. doi: 10.2147/CMAR.S304547. eCollection 2021.","Li Q","Cancer Manag Res","2021","2021/07/08","PMC8253937","","10.2147/CMAR.S304547"
"32602066","Prognostic factors of biochemical remission after transsphenoidal surgery for acromegaly: a structured review","Agrawal N, Ioachimescu AG.","Pituitary. 2020 Oct;23(5):582-594. doi: 10.1007/s11102-020-01063-x.","Agrawal N","Pituitary","2020","2020/07/01","","","10.1007/s11102-020-01063-x"
"34326133","Location of Gastrointestinal Stromal Tumor (GIST) in the Stomach Predicts Tumor Mutation Profile and Drug Sensitivity","Sharma AK, de la Torre J, IJzerman NS, Sutton TL, Zhao B, Khan TM, Banerjee S, Cui C, Nguyen V, Alkhuziem M, Snaebjornsson P, van Boven H, Bruining A, Tang CM, Yoon H, De la Fuente A, Kato S, Patel H, Heinrich MC, Corless CL, Horgan S, Burgoyne AM, Fanta P, Mesirov JP, Blakely AM, Davis JL, Mayo SC, van Houdt WJ, Steeghs N, Sicklick JK.","Clin Cancer Res. 2021 Oct 1;27(19):5334-5342. doi: 10.1158/1078-0432.CCR-21-1221.","Sharma AK","Clin Cancer Res","2021","2021/07/30","PMC8799780","NIHMS1730412","10.1158/1078-0432.CCR-21-1221"
"30504368","Application of Artificial Intelligence-based Technology in Cancer Management: A Commentary on the Deployment of Artificial Neural Networks","Sherbet GV, Woo WL, Dlay S.","Anticancer Res. 2018 Dec;38(12):6607-6613. doi: 10.21873/anticanres.13027.","Sherbet GV","Anticancer Res","2018","2018/12/04","","","10.21873/anticanres.13027"
"31725847","Development of Genome-Derived Tumor Type Prediction to Inform Clinical Cancer Care","Penson A, Camacho N, Zheng Y, Varghese AM, Al-Ahmadie H, Razavi P, Chandarlapaty S, Vallejo CE, Vakiani E, Gilewski T, Rosenberg JE, Shady M, Tsui DWY, Reales DN, Abeshouse A, Syed A, Zehir A, Schultz N, Ladanyi M, Solit DB, Klimstra DS, Hyman DM, Taylor BS, Berger MF.","JAMA Oncol. 2020 Jan 1;6(1):84-91. doi: 10.1001/jamaoncol.2019.3985.","Penson A","JAMA Oncol","2020","2019/11/15","PMC6865333","","10.1001/jamaoncol.2019.3985"
"33500247","Serine Biosynthesis Is a Metabolic Vulnerability in IDH2-Driven Breast Cancer Progression","Barnabas GD, Lee JS, Shami T, Harel M, Beck L, Selitrennik M, Jerby-Arnon L, Erez N, Ruppin E, Geiger T.","Cancer Res. 2021 Mar 15;81(6):1443-1456. doi: 10.1158/0008-5472.CAN-19-3020. Epub 2021 Jan 26.","Barnabas GD","Cancer Res","2021","2021/01/27","","","10.1158/0008-5472.CAN-19-3020"
"33516088","Clinical use and mechanisms of resistance for PARP inhibitors in homologous recombination-deficient cancers","Janysek DC, Kim J, Duijf PHG, Dray E.","Transl Oncol. 2021 Mar;14(3):101012. doi: 10.1016/j.tranon.2021.101012. Epub 2021 Jan 27.","Janysek DC","Transl Oncol","2021","2021/01/30","PMC7847957","","10.1016/j.tranon.2021.101012"
"33028917","Multicompartment modeling of protein shedding kinetics during vascularized tumor growth","Machiraju GB, Mallick P, Frieboes HB.","Sci Rep. 2020 Oct 7;10(1):16709. doi: 10.1038/s41598-020-73866-8.","Machiraju GB","Sci Rep","2020","2020/10/08","PMC7542472","","10.1038/s41598-020-73866-8"
"31181623","Fibronectin Promotes Cell Growth and Migration in Human Renal Cell Carcinoma Cells","Ou YC, Li JR, Wang JD, Chang CY, Wu CC, Chen WY, Kuan YH, Liao SL, Lu HC, Chen CJ.","Int J Mol Sci. 2019 Jun 7;20(11):2792. doi: 10.3390/ijms20112792.","Ou YC","Int J Mol Sci","2019","2019/06/12","PMC6600362","","10.3390/ijms20112792"
"32352034","Gas6 expression is reduced in advanced breast cancers","Ibrahim AM, Gray Z, Gomes AM, Myers L, Behbod F, Machado HL.","NPJ Precis Oncol. 2020 Apr 24;4:9. doi: 10.1038/s41698-020-0116-z. eCollection 2020.","Ibrahim AM","NPJ Precis Oncol","2020","2020/05/01","PMC7181799","","10.1038/s41698-020-0116-z"
"30940817","Gut microbiota dependent anti-tumor immunity restricts melanoma growth in Rnf5(-/-) mice","Li Y, Tinoco R, Elmén L, Segota I, Xian Y, Fujita Y, Sahu A, Zarecki R, Marie K, Feng Y, Khateb A, Frederick DT, Ashkenazi SK, Kim H, Perez EG, Day CP, Segura Muñoz RS, Schmaltz R, Yooseph S, Tam MA, Zhang T, Avitan-Hersh E, Tzur L, Roizman S, Boyango I, Bar-Sela G, Orian A, Kaufman RJ, Bosenberg M, Goding CR, Baaten B, Levesque MP, Dummer R, Brown K, Merlino G, Ruppin E, Flaherty K, Ramer-Tait A, Long T, Peterson SN, Bradley LM, Ronai ZA.","Nat Commun. 2019 Apr 2;10(1):1492. doi: 10.1038/s41467-019-09525-y.","Li Y","Nat Commun","2019","2019/04/04","PMC6445090","","10.1038/s41467-019-09525-y"
"30231342","Molecular Subtypes and the Evolution of Treatment Decisions in Metastatic Colorectal Cancer","Dienstmann R, Salazar R, Tabernero J.","Am Soc Clin Oncol Educ Book. 2018 May 23;38:231-238. doi: 10.1200/EDBK_200929.","Dienstmann R","Am Soc Clin Oncol Educ Book","2018","2018/09/21","","","10.1200/EDBK_200929"
"35226704","Machine learning predicts cancer subtypes and progression from blood immune signatures","Simon Davis DA, Mun S, Smith JM, Hammill D, Garrett J, Gosling K, Price J, Elsaleh H, Syed FM, Atmosukarto II, Quah BJC.","PLoS One. 2022 Feb 28;17(2):e0264631. doi: 10.1371/journal.pone.0264631. eCollection 2022.","Simon Davis DA","PLoS One","2022","2022/02/28","PMC8884497","","10.1371/journal.pone.0264631"
"34229998","Automatic brain tumour diagnostic method based on a back propagation neural network and an extended set-membership filter","Song G, Shan T, Bao M, Liu Y, Zhao Y, Chen B.","Comput Methods Programs Biomed. 2021 Sep;208:106188. doi: 10.1016/j.cmpb.2021.106188. Epub 2021 Jun 2.","Song G","Comput Methods Programs Biomed","2021","2021/07/07","","","10.1016/j.cmpb.2021.106188"
"32016387","Radiomics Response Signature for Identification of Metastatic Colorectal Cancer Sensitive to Therapies Targeting EGFR Pathway","Dercle L, Lu L, Schwartz LH, Qian M, Tejpar S, Eggleton P, Zhao B, Piessevaux H.","J Natl Cancer Inst. 2020 Sep 1;112(9):902-912. doi: 10.1093/jnci/djaa017.","Dercle L","J Natl Cancer Inst","2020","2020/02/05","PMC7492770","","10.1093/jnci/djaa017"
